,gpu_usage,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,elapsed_time
0,0.0,23.0,25.0,26.0,25.0,23.0,26.0,25.0,29.0,58.218,61.906,62.468,8816.0,3370.0,0.39691312249800637,0.0724339485168457
1,60.0,13.0,14.0,27.0,36.0,35.0,35.0,27.0,57.0,58.156,61.781,62.406,8574.0,3049.0,0.4000317879816478,1.0880591869354248
2,0.0,50.0,50.0,41.0,40.0,31.0,49.0,48.0,53.0,58.312,62.031,62.437,9686.0,3926.0,0.4025361519675114,2.076788902282715
3,40.7,41.0,36.0,33.0,57.0,28.0,24.0,27.0,20.0,58.5,61.5,62.656,8171.0,2688.0,0.40494395434507274,3.0879452228546143
4,0.0,7.0,5.0,6.0,15.0,14.0,7.0,72.0,39.0,58.187,61.843,62.75,7729.0,2447.0,0.40616781658983325,4.082597017288208
5,0.0,17.0,12.0,11.0,15.0,31.0,18.0,89.0,21.0,58.375,61.5,62.593,7487.0,2170.0,0.40803991412753715,5.099860906600952
6,0.0,12.0,12.0,9.0,7.0,12.0,15.0,96.0,11.0,58.5,61.843,62.718,7688.0,2407.0,0.4100594739662918,6.106006145477295
7,0.0,15.0,48.0,60.0,15.0,18.0,16.0,15.0,11.0,58.406,61.406,62.5,7407.0,2089.0,0.4114327946177009,7.099884510040283
8,0.0,36.0,17.0,33.0,29.0,18.0,13.0,8.0,18.0,58.187,61.468,62.75,7366.0,2130.0,0.4127881503187282,8.092204809188843
9,0.0,12.0,11.0,6.0,25.0,3.0,6.0,8.0,97.0,58.062,61.625,62.5,7729.0,2207.0,0.4149756325409127,9.10832142829895
10,0.0,8.0,16.0,12.0,15.0,3.0,7.0,4.0,100.0,58.312,61.625,62.406,7890.0,2287.0,0.4179618065154883,10.11046552658081
11,0.0,10.0,10.0,16.0,19.0,3.0,5.0,6.0,100.0,58.125,61.468,62.468,7849.0,2247.0,0.41995117525707343,11.109485864639282
12,0.0,12.0,11.0,18.0,6.0,6.0,4.0,3.0,100.0,58.343,61.781,62.437,7809.0,2207.0,0.42283829249134935,12.109486818313599
13,0.0,10.0,12.0,15.0,15.0,5.0,3.0,4.0,100.0,58.156,61.687,62.75,7930.0,2247.0,0.4258242169527252,13.113609790802002
14,0.0,18.0,9.0,7.0,18.0,5.0,3.0,3.0,100.0,58.437,61.968,62.656,7970.0,2327.0,0.4298318979670663,14.120420217514038
15,0.0,24.0,38.0,10.0,11.0,9.0,5.0,4.0,100.0,58.312,62.093,62.687,8655.0,3049.0,0.4352800186835484,15.09976840019226
16,0.0,22.0,11.0,14.0,88.0,6.0,8.0,13.0,100.0,58.343,62.093,62.625,9163.0,3009.0,0.43882111001436197,16.11172127723694
17,9.4,25.0,18.0,27.0,73.0,43.0,10.0,37.0,52.0,58.5,62.093,62.562,9083.0,3525.0,0.4421134366850275,17.100419521331787
18,7.2,52.0,48.0,11.0,32.0,91.0,10.0,8.0,7.0,58.437,62.906,62.906,8922.0,3571.0,0.4448715555950341,18.09973955154419
19,7.1,38.0,74.0,9.0,13.0,55.0,14.0,53.0,5.0,58.562,61.812,62.625,9003.0,3250.0,0.445412749725286,19.104427337646484
20,33.1,88.0,11.0,13.0,17.0,14.0,11.0,100.0,10.0,58.687,61.937,62.812,8922.0,3451.0,0.447046811670431,20.11283230781555
21,30.5,26.0,32.0,25.0,39.0,20.0,21.0,100.0,48.0,58.5,62.281,62.75,9244.0,3685.0,0.44951449721593173,21.11484122276306
22,0.0,14.0,7.0,9.0,8.0,16.0,13.0,100.0,18.0,58.656,61.906,62.812,8131.0,2688.0,0.4534296088331665,22.138898134231567
23,49.9,34.0,38.0,30.0,38.0,35.0,25.0,100.0,22.0,58.687,61.906,62.812,8842.0,2969.0,0.44838769560587294,23.142029285430908
24,0.0,17.0,24.0,20.0,20.0,13.0,8.0,100.0,11.0,58.437,61.812,62.718,7930.0,2327.0,0.4486756338383813,24.19890809059143
25,0.0,20.0,14.0,8.0,16.0,10.0,6.0,100.0,4.0,58.437,61.812,62.75,8010.0,2528.0,0.4520255980581885,25.13576650619507
26,0.0,10.0,17.0,18.0,13.0,4.0,5.0,100.0,3.0,58.875,61.781,62.687,7890.0,2487.0,0.45182773409078886,26.129205226898193
27,0.0,20.0,10.0,12.0,13.0,7.0,4.0,100.0,6.0,58.5,61.781,62.718,7930.0,2608.0,0.4486644057443927,27.13827657699585
28,0.0,16.0,11.0,14.0,18.0,4.0,4.0,100.0,3.0,58.5,62.156,62.687,7930.0,2648.0,0.44949827885794813,28.135765075683594
29,0.0,9.0,9.0,18.0,18.0,6.0,4.0,100.0,4.0,58.343,61.937,62.687,8091.0,2367.0,0.44982539066281685,29.14409852027893
30,0.0,8.0,10.0,17.0,14.0,9.0,5.0,100.0,9.0,58.437,61.812,62.875,7769.0,2287.0,0.45063306489039884,30.140650510787964
31,0.0,11.0,11.0,16.0,16.0,7.0,4.0,100.0,6.0,58.625,62.0,62.812,8051.0,2688.0,0.45203807371817584,31.133345365524292
32,0.0,20.0,13.0,17.0,10.0,3.0,5.0,100.0,4.0,58.531,62.0,62.781,7930.0,2648.0,0.4535493751690452,32.147207736968994
33,0.0,12.0,13.0,12.0,23.0,19.0,6.0,57.0,46.0,58.625,62.031,62.656,7407.0,2130.0,0.45368286473091,33.154706954956055
34,0.0,12.0,18.0,26.0,48.0,28.0,12.0,19.0,45.0,58.406,61.656,62.812,7165.0,1929.0,0.45441718207776627,34.14623022079468
35,0.0,32.0,13.0,17.0,74.0,32.0,8.0,14.0,12.0,58.468,61.5,62.718,7085.0,1889.0,0.45547287242589707,35.156383991241455
36,0.0,38.0,26.0,34.0,39.0,28.0,14.0,22.0,18.0,58.468,61.468,62.781,7165.0,1929.0,0.4557136526636532,36.15105938911438
37,0.0,26.0,15.0,40.0,62.0,37.0,11.0,17.0,8.0,58.281,61.406,62.718,7165.0,1929.0,0.45336673150683016,37.167819023132324
38,0.0,28.0,23.0,63.0,25.0,33.0,14.0,11.0,18.0,58.437,61.375,62.718,7125.0,1929.0,0.4543408310386436,38.16468691825867
39,0.0,20.0,25.0,20.0,77.0,30.0,14.0,11.0,10.0,58.781,61.531,62.781,7125.0,1889.0,0.45524132417653157,39.18623685836792
40,0.0,26.0,16.0,73.0,17.0,34.0,14.0,12.0,21.0,58.468,61.5,62.812,7407.0,2130.0,0.455569683547399,40.16295886039734
41,0.0,7.0,3.0,100.0,5.0,13.0,10.0,13.0,21.0,58.375,61.75,62.687,7769.0,2487.0,0.4569138111544377,41.16436171531677
42,0.0,7.0,14.0,100.0,12.0,17.0,9.0,17.0,8.0,58.812,61.656,62.625,7890.0,2688.0,0.4573454689900005,42.15350008010864
43,0.0,6.0,12.0,100.0,5.0,12.0,17.0,10.0,8.0,58.625,61.75,62.687,7809.0,2648.0,0.4571353788758133,43.139758348464966
44,0.0,12.0,11.0,100.0,7.0,10.0,16.0,10.0,11.0,58.687,61.812,62.718,7890.0,2728.0,0.4566256234087296,44.157060623168945
45,0.0,5.0,6.0,100.0,11.0,14.0,10.0,9.0,14.0,58.562,62.031,62.906,7849.0,2648.0,0.45710344118624563,45.137629985809326
46,0.0,10.0,10.0,100.0,11.0,14.0,12.0,11.0,10.0,58.437,61.718,62.812,7849.0,2648.0,0.45749392934385014,46.15964651107788
