Wall time,Step,Value
1748729915.0092034,2,49.76430130004883
1748732216.192002,3,49.460201263427734
1748734572.9751968,4,52.515499114990234
1748736913.1946893,5,49.88410186767578
1748739239.6019142,6,54.69860076904297
1748741556.1468115,7,53.425201416015625
1748743878.274487,8,53.27199935913086
1748746167.9145954,9,52.24720001220703
1748748460.5814486,10,52.43450164794922
1748750774.3802617,11,54.682098388671875
1748753064.7638876,12,52.2156982421875
1748755366.4306672,13,52.407501220703125
1748757678.3455262,14,53.441001892089844
1748759992.0250654,15,53.40869903564453
