Wall time,Step,Value
1749624214.0048192,1,44.03099822998047
1749625724.389613,2,36.688899993896484
1749627236.4016485,3,27.22960090637207
1749628743.4123466,4,43.4640007019043
1749630251.2289078,5,37.22740173339844
1749631748.8845353,6,49.75920104980469
1749633263.947611,7,46.33869934082031
1749634763.8209884,8,45.56639862060547
1749636263.541295,9,17.959400177001953
1749637750.255702,10,18.52280044555664
1749639241.6459553,11,11.276700019836426
1749640732.5839953,12,21.104999542236328
1749642231.5835578,13,34.332000732421875
1749643722.725233,14,18.17009925842285
1749645221.6870635,15,22.66119956970215
1749646714.7030325,16,26.2268009185791
1749648214.7226849,17,26.209699630737305
1749649732.516369,18,29.165599822998047
1749651251.3966513,19,33.25529861450195
1749652759.4791842,20,31.643400192260742
1749654264.006981,21,43.96099853515625
1749655770.1368663,22,33.72489929199219
1749657273.470195,23,31.920400619506836
1749658772.5761912,24,49.640098571777344
1749660279.2838311,25,51.08359909057617
1749661787.9099746,26,56.30500030517578
1749663296.742733,27,54.61320114135742
1749664809.8068957,28,52.66130065917969
1749666394.4574718,29,59.40399932861328
1749667963.404495,30,57.75790023803711
1749669479.1603389,31,51.817901611328125
1749670997.6077764,32,52.447601318359375
1749672527.9344165,33,58.28160095214844
1749674042.800121,34,61.80379867553711
1749675574.008503,35,59.7322998046875
1749677104.2956462,36,61.78020095825195
1749678637.0093043,37,60.69219970703125
1749680159.9565923,38,59.860599517822266
1749681684.3331864,39,58.734100341796875
1749683197.3229039,40,61.16490173339844
1749684734.062409,41,60.87990188598633
1749686245.9885511,42,61.304100036621094
1749687760.3915908,43,60.76029968261719
1749689273.3362732,44,61.316898345947266
1749690788.1303134,45,60.890499114990234
1749692305.615563,46,61.00979995727539
1749693822.6568053,47,59.496299743652344
1749695338.865337,48,60.72560119628906
1749696855.4629703,49,61.56230163574219
1749698372.7106464,50,61.11119842529297
