,model,rango,RA_noche_s1,RA_noche_s2,RA_noche_s3,RA_noche,RA_sol intenso_s1,RA_sol intenso_s2,RA_sol intenso_s3,RA_sol intenso,RA_nieve_s1,RA_nieve_s2,RA_nieve_s3,RA_nieve,RA_niebla_s1,RA_niebla_s2,RA_niebla_s3,RA_niebla,RA_lluvia_s1,RA_lluvia_s2,RA_lluvia_s3,RA_lluvia,mRA
0,virconv,0-30,1.000120519138092,1.0007114837247315,1.0019402811775764,1.0009240946801334,0.9970726126626284,0.9646438076215441,0.9047233071335278,0.9554799091392333,0.8494316865486472,0.841444427683439,0.8030365519822992,0.8313042220714618,0.9372293534326842,0.9411008527238796,0.9332712672854296,0.9372004911473312,0.85338643394877,0.8491333290336244,0.8450494491953126,0.8491897373925689,0.9046546363228738
1,virconv,30-50,1.011310221301714,0.98905541808168,0.9505219920258289,0.9836292104697408,0.988532062383096,0.9412076431709602,0.899430564585514,0.9430567567131901,0.1640836382107809,0.1392453942492647,0.08976416040626588,0.1310310642887705,0.8165590723767,0.7269986046495598,0.690264003842594,0.7446072269562846,0.18171570707074033,0.15931833030948783,0.1470918222915324,0.16270861989058685,0.5054940304013457
2,virconv,50-80,0.4907361195544371,0.47831541894089075,0.1266990927407322,0.36525021041202005,0.3623755308808188,0.9047174541477239,0.3714790353374925,0.546190673455345,0.0,0.0,0.0,0.0,0.6763399773952103,0.28701470721439815,0.3720585958271337,0.44513776014558076,0.0,0.0,0.0,0.0,0.2025969926394002
3,virconv,0-80,1.0010027807908246,0.9803914507544323,0.9783742648290552,0.9865894987914374,0.9784268113648497,0.9433650278316806,0.8988901251935131,0.9402273214633478,0.6607867440303306,0.6355054602937814,0.6134683968673936,0.6365868670638353,0.9085975695924299,0.8858162642001581,0.8762787694654918,0.8902308677526932,0.6835614947975388,0.6609163841181651,0.6556251508019262,0.6667010099058768,0.7950270608784606
4,mvxnet,0-30,0.9934813915247522,0.9714394694742925,0.9324063558697232,0.965775738956256,0.9315950314183794,0.7528852116195962,0.5646169115720484,0.7496990515366747,0.7259674492076332,0.7024854568261433,0.6615847954724007,0.6966792338353924,0.9157545161537269,0.8121557449750517,0.7798933073414771,0.8359345228234186,0.7226439692817249,0.6738948347446048,0.6426567131635527,0.6797318390632942,0.7945303336695904
5,mvxnet,30-50,0.9423128633172646,0.8180406777022992,0.6020591700049677,0.7874709036748437,0.87095845109717,0.7797236125938595,0.680869222206564,0.7771837619658646,0.17097028704885725,0.135959068765286,0.06312933915949398,0.12335289832454575,0.7139180821185045,0.35254014388607025,0.25888666390454085,0.4417816299697052,0.19108187475403435,0.15110988485584326,0.1177509451160022,0.15331423490862658,0.3764799167194303
6,mvxnet,50-80,,,,,,,inf,,,,,,,,,,,,,,
7,mvxnet,0-80,0.9721352972711591,0.9321300080450137,0.8586498542615623,0.920971719859245,0.920610944670491,0.7520964518747769,0.5876342390664567,0.7534472118705748,0.5923934136111575,0.5769424767888107,0.5195252482134143,0.5629537128711275,0.8568448478745472,0.6896783509934957,0.64278473514755,0.7297693113385311,0.6015653248321939,0.5532629376432356,0.5211633704147496,0.5586638776300598,0.6930896554247409
8,bevfusion,0-30,1.000015357542751,1.0000054010558705,1.0000244478904912,1.0000150688297043,0.9529471295070366,0.7965733290317955,0.6490325202760107,0.7995176596049477,0.7165598635429172,0.7263243038948742,0.726079490308545,0.7229878859154454,0.8888298848056725,0.8487325703036143,0.8085816471819431,0.8487147007637432,0.7227526133157018,0.7177659355267018,0.7210460059100441,0.7205215182508159,0.8230597934399272
9,bevfusion,30-50,0.9998438086476741,0.9995451463895375,0.9998397990632154,0.9997429180334757,0.9273448349775846,0.819946369324193,0.7059261891132412,0.8177391311383396,0.11729868215695895,0.10508605787811114,0.09527003050151102,0.1058849235121937,0.8037611529666769,0.6704085769168752,0.6859652143743991,0.720044981419317,0.1189119345482367,0.11158241700361347,0.1079392535640321,0.11281120170529409,0.4846210061675701
10,bevfusion,50-80,,,,,,,,,,,,,,,,,,,,,
11,bevfusion,0-80,0.9999258939737726,0.9999101242046814,0.999919924734754,0.999918647637736,0.9492793417132653,0.8001187689382256,0.6604125995178804,0.8032702367231238,0.5859563794412054,0.597360806811708,0.5955762869604363,0.5929644910711165,0.8802238414304694,0.8161721315994872,0.7807818317335345,0.8257259349211638,0.5948030733638241,0.5888363886324609,0.5902435824714073,0.5912943481558974,0.7524758554464784
