,model,rango,RA_noche_s1,RA_noche_s2,RA_noche_s3,RA_noche,RA_sol intenso_s1,RA_sol intenso_s2,RA_sol intenso_s3,RA_sol intenso,RA_nieve_s1,RA_nieve_s2,RA_nieve_s3,RA_nieve,RA_niebla_s1,RA_niebla_s2,RA_niebla_s3,RA_niebla,RA_lluvia_s1,RA_lluvia_s2,RA_lluvia_s3,RA_lluvia,mRA
0,virconv,0-30,0.9674705206208587,1.0061461020312683,1.0099357733639445,0.9945174653386905,0.9767969523923284,0.9010778484152101,0.8495291229141376,0.9091346412405588,0.921966422837698,0.9171332139146602,0.8972772046419628,0.9121256137981071,0.03245907065891562,0.04506771262550755,0.03541034563432736,0.037645709639583504,0.9410227854446361,0.9188250076774057,0.9220950152704288,0.9273142694641568,0.7179007645601344
1,virconv,30-50,0.9915853728703408,1.0561711106788818,1.1344662907032192,1.060740924750814,1.0339770103350228,0.9539159442243528,0.9198136736581486,0.9692355427391748,0.24756121963573247,0.17091667078159606,0.0932487482142106,0.17057554621051305,0.07743463301998775,0.0,0.045806402631542044,0.0410803452171766,0.190560408863513,0.24087120645324722,0.18285590084692585,0.20476250538789534,0.36928983039159974
2,virconv,50-80,,,inf,,,,,,,,,,,,,,,,,,
3,virconv,0-80,0.9712569293641867,1.004617934277723,1.0270574742225889,1.0009774459548328,0.9847336426618796,0.8798485600679236,0.8522975547725024,0.9056265858341018,0.7912161796621794,0.7597850552719734,0.7095287646049696,0.7535099998463742,0.03528262358566831,0.018472948356789226,0.03694589671357845,0.03023382288534533,0.78503476140059,0.7856108565154687,0.7656041953796903,0.7787499377652497,0.6408678016129505
4,mvxnet,0-30,0.9799580204549111,0.9260227843696607,0.859839432306659,0.9219400790437436,0.96574352568144,0.662167943932914,0.48955493882147966,0.7058221361452778,0.8773587976154185,0.8744814063949132,0.7923669371880194,0.8480690470661171,0.03159256827652088,0.059686390669119696,0.03348971783022597,0.041589558925288844,0.8970575812442709,0.863140719260194,0.8298760284331589,0.8633581096458746,0.668739198670256
5,mvxnet,30-50,0.9074308600477751,0.76514010134721,0.3187542243993729,0.6637750619314526,1.0233466139737095,0.962028007214654,0.795675990874639,0.9270168706876675,0.2945418187963228,0.17885492206606357,0.19001922630745838,0.2211386557232816,0.2939740516135856,0.24531415268602313,0.18093341479566588,0.2400738730317582,0.22827684718805932,0.17111731721474108,0.15166727538512498,0.18368714659597515,0.3271686843206169
6,mvxnet,50-80,,,,,,,,,,,,,,,,,,,,,
7,mvxnet,0-80,0.9629281443320635,0.8893905731741969,0.7609101372262749,0.8710762849108451,0.9694179736853792,0.7079271480849599,0.530150130477139,0.7358317507491593,0.7465459809653034,0.7353080011413262,0.6748292697376094,0.718894417281413,0.07884696382037279,0.09257021457997745,0.04890766650146349,0.07344161496727125,0.7631849327189123,0.723399199072351,0.6959615682506233,0.7275152333472956,0.5977318876267063
8,bevfusion,0-30,0.9999894364280223,1.0,0.9999798865654721,0.9999897743311648,0.9066750477354177,0.7924495850394502,0.6160882502502089,0.7717376276750256,0.8809130372027142,0.8950073030169468,0.8682121745670349,0.8813775049288987,0.02189957653123156,0.002509607580936626,2.097409725052609e-05,0.008143386069806238,0.8701750305238357,0.8778544382727836,0.8764117774592619,0.8748137487519605,0.6910811035204576
9,bevfusion,30-50,0.9999958441525674,0.9999968295845686,0.9999979160186779,0.9999968632519379,0.8822255292022688,0.7581229574949531,0.554031220114719,0.731459902270647,0.20762461717139066,0.16380759105413975,0.08595774724551802,0.15246331849034947,0.02628044607716287,0.0017283295033910422,0.0005573479831936293,0.009522041187915846,0.2688453012723484,0.18379441959595874,0.21977980941968217,0.2241398434293298,0.34653051658988326
10,bevfusion,50-80,,,,,,,,,,,,,,,,,,,,,
11,bevfusion,0-80,1.000180036958163,0.999973843738742,0.9999530025185914,1.0000356277384987,0.887042787943414,0.761764736403263,0.5874748690023167,0.7454274644496645,0.7671227806156906,0.7717632691902929,0.7387606310129338,0.7592155602729725,0.014307387646468935,0.0023733247745686974,0.00011838695129562707,0.005599699790777753,0.7695263784273358,0.7677280833308094,0.7664716446187977,0.7679087021256477,0.6331898974819741
