,model,rango,RA_noche_s1,RA_noche_s2,RA_noche_s3,RA_noche,RA_sol intenso_s1,RA_sol intenso_s2,RA_sol intenso_s3,RA_sol intenso,RA_nieve_s1,RA_nieve_s2,RA_nieve_s3,RA_nieve,RA_niebla_s1,RA_niebla_s2,RA_niebla_s3,RA_niebla,RA_lluvia_s1,RA_lluvia_s2,RA_lluvia_s3,RA_lluvia,mRA
0,virconv,0-30,1.030671225693004,0.9968920161254111,1.0014065819546678,1.009656607924361,0.9236322077542707,0.8170982612438257,0.673700290366616,0.804810253121571,1.023699366467953,1.0089404027356037,1.0216775605678412,1.018105776590466,0.0,0.0011645396745834555,0.0023057885556752437,0.0011567760767528998,1.0131968494728094,1.0211367087339422,1.0229293801091706,1.0190876461053076,0.762001701674222
1,virconv,30-50,1.1117740820556266,1.048489078142488,0.9038249797783421,1.0213627133254857,0.7439083494304545,0.6916612033504462,0.6363386592110039,0.6906360706639681,0.3949250539981882,0.5517723958588951,0.49379227448739105,0.4801632414481582,0.0,0.0,0.0,0.0,0.5941965067647034,0.6431076465015982,0.3190806721546058,0.5187949418069692,0.5050802241451533
2,virconv,50-80,,,,,,,,,,,,,,,,,,,,,
3,virconv,0-80,1.0120389994169074,0.9969518815790183,0.9995807358425481,1.0028572056128247,0.9193168691151515,0.8072667599593469,0.6642282817226375,0.7969373035990452,1.0096785017929624,0.9947936547018088,1.0079944085721404,1.0041555216889704,0.0,0.0012166133048544052,0.003019003386120189,0.0014118722303248649,0.9973195921289816,1.0069921250968032,1.0076177770792596,1.0039764981016814,0.7531002744084504
4,mvxnet,0-30,0.8708999759600154,0.7542773618510188,0.6250478634853508,0.7500750670987949,0.7565289868124874,0.5144368877413293,0.27669953779366324,0.5158884707824933,0.7388457431154836,0.7669605031658993,0.6667459918297328,0.7241840793703719,0.000958983669685282,0.003872808134775477,0.004016513368782435,0.0029494350577477318,0.6653775495690288,0.567619671481237,0.5150445578461359,0.5826805929654673,0.5149722936230954
5,mvxnet,30-50,1.4626208973524586,1.1055101204114575,0.7044397231712054,1.0908569136450403,1.2912195298603946,1.440746710357042,0.8175833014157761,1.1831831805444042,0.5272714592780777,0.4545447819406862,0.25645598347079995,0.4127574082298546,0.018357628465456834,0.024073846536222483,0.022636282493448994,0.021689252498376107,0.633788370382664,0.4731633037438827,0.400058789230563,0.5023368211190365,0.5069100988730769
6,mvxnet,50-80,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.380952380952381,0.19536019536019536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mvxnet,0-80,0.8696393694708926,0.7650004943921312,0.6204614780887691,0.7517004473172643,0.7628993627471853,0.518735858558739,0.2749468706119782,0.5188606973059675,0.7333403657976767,0.7605762916818981,0.6568555760303657,0.7169240778366469,0.0008114108115132096,0.003246409666821579,0.003764466719393356,0.0026074290659093813,0.6714722265606965,0.5714890782272728,0.5084528795279161,0.583804728105295,0.5137591705812788
8,bevfusion,0-30,0.9999612486703928,1.0001578464978285,1.0000004991792153,1.0000398647824789,0.8769250135655009,0.7124867464308384,0.5207231118408906,0.70337829061241,0.9883762674229937,0.9471051565390814,0.9134982428754037,0.9496598889458262,0.00023309438230171593,0.0004944751405310615,0.0005680731574853656,0.000431880893439381,0.9959511243162871,0.9882314509176198,0.9800856168814739,0.9880893973717936,0.7345552579983845
9,bevfusion,30-50,1.0000054219897785,1.0014737748312175,0.9988839915031765,1.0001210627747241,0.8007434467403074,0.43973225940687827,0.42583916525076476,0.5554382904659835,0.849212882119919,0.5164280307119948,0.4955318119058168,0.6203909082459101,0.03281761640008674,0.029571961074915627,0.021761674161069142,0.028050417212023837,0.5990121320662557,0.7573259680580607,0.6678613907357931,0.6747331636200364,0.5808238879631736
10,bevfusion,50-80,0.0,1.0,0.0,0.3333333333333333,1.0357142857142851,0.0,0.5225225225225222,0.519412269412269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
11,bevfusion,0-80,1.000048673600835,0.9999872643145652,1.0000735732609285,1.0000365037254428,0.872551443590953,0.7091523474754885,0.5137859739145101,0.6984965883269839,0.9740851989855053,0.9453745713534659,0.9021996070286502,0.940553125789207,0.0002721571173274894,0.0007810612008592081,0.0006405974519364897,0.000564605256707729,0.9819257251882992,0.9838570878846876,0.9623774714785656,0.9760534281838508,0.7293019157388021
