,model,rango,RA_noche_s1,RA_noche_s2,RA_noche_s3,RA_noche,RA_sol intenso_s1,RA_sol intenso_s2,RA_sol intenso_s3,RA_sol intenso,RA_nieve_s1,RA_nieve_s2,RA_nieve_s3,RA_nieve,RA_niebla_s1,RA_niebla_s2,RA_niebla_s3,RA_niebla,RA_lluvia_s1,RA_lluvia_s2,RA_lluvia_s3,RA_lluvia,mRA
0,virconv,0-30,1.0004630873981482,1.000524478401461,1.0006102757280508,1.0005326138425534,1.0003821441003307,0.9929334095005758,0.9408881315783605,0.9780678950597556,0.9366750988574052,0.9074946765064046,0.8889685135497329,0.9110460963045143,0.9950833312561747,0.9922158545164147,0.985137840071424,0.9908123419480045,0.9415327822759245,0.9347829984007833,0.9079305451211093,0.9280821085992722,0.9576182901735861
1,virconv,30-50,0.9832451557202911,0.9773482698951248,0.9365734751801211,0.965722300265179,0.983815160383276,0.9493796157139325,0.9203744886954605,0.9511897549308896,0.35590787662524526,0.2989500621098897,0.19707429641151217,0.2839774117155491,0.8812156607483764,0.7587709305186374,0.7504477202262102,0.796811437164408,0.43471751219096205,0.38520679662797486,0.33835948896631873,0.3860945992617519,0.6081514371017219
2,virconv,50-80,0.4925984127688612,0.33910823211388563,0.1502693753750935,0.32732534008594677,0.4760446400989103,0.5936166756968059,0.574072491158404,0.5479112689847067,0.0,0.0,0.0,0.0,0.7344491334559224,0.4024325346005526,0.2612328809251918,0.46603818299388894,0.0,0.0,0.0,0.0,0.19834088076995893
3,virconv,0-80,0.9997281864375559,0.9976051195950053,0.9748891537638141,0.9907408199321251,0.9797529569254091,0.9726103336766092,0.9203754143133188,0.9575795683051124,0.7401559740174909,0.709025999770419,0.6466429104691276,0.6986082947523459,0.9483350857765062,0.9165288346949807,0.9071084693254091,0.9239907965989653,0.7897258864363402,0.7398320000174331,0.7098418493558653,0.7464665786032129,0.8399516224716622
4,mvxnet,0-30,0.9953598710873128,0.9888587756939731,0.961779728744225,0.9819994585085037,0.9632653249674081,0.860534533740265,0.7135059757290999,0.8457686114789243,0.8637065233807839,0.846978430955862,0.8042041466295856,0.8382963669887439,0.9582711264399546,0.9115405549199537,0.8819611679613109,0.9172576164404065,0.8548629636698538,0.8197711670199356,0.7918839586271316,0.8221726964389736,0.889931534594157
5,mvxnet,30-50,0.9408066858579447,0.8422871605158601,0.7057357489534396,0.8296098651090814,0.9116829118850653,0.8530368320226177,0.7902273609087956,0.8516490349388262,0.395658444891444,0.3299669435190552,0.1982380820874887,0.307954490165996,0.7889484484313897,0.4391603485902418,0.32494003861241555,0.517682945211349,0.42384659299816996,0.3630787608155258,0.3003122311180976,0.3624125283105977,0.5044149571992561
6,mvxnet,50-80,0.0,0.0,0.0,0.0,0.0,0.0,0.02041040961849569,0.0068034698728318965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mvxnet,0-80,0.9668926912126903,0.9461572695845571,0.8882849616313414,0.9337783074761963,0.9543057823126593,0.8653228918136195,0.7337788933325847,0.8511358558196211,0.7223409814909334,0.6964135579357684,0.6211940433012343,0.679982860909312,0.9119594177760366,0.7606004759319456,0.6992401881457533,0.7906000272845786,0.7312977389533892,0.6916332867062174,0.6536827087479911,0.692204578135866,0.7741414434514883
8,bevfusion,0-30,0.9999959571285338,0.9999961318441833,0.9999984013524289,0.999996830108382,0.9734196223777124,0.9324027001615356,0.8454946617166736,0.9171056614186405,0.8528544123115068,0.8674514494566001,0.8738083728603506,0.8647047448761525,0.9664867364473546,0.9431295509173585,0.9188846104635707,0.9428336326094279,0.8630481620828743,0.848096004992148,0.8552544789958668,0.8554662153569631,0.9157503557377313
9,bevfusion,30-50,1.0000005266545346,1.0001170772194892,1.0001173360819455,1.0000783133186566,0.9795300436346884,0.9050660435535756,0.8502336189598309,0.9116099020493649,0.3334690641996791,0.3254798015983459,0.29350697620027844,0.3174852806661011,0.8940342664118491,0.7859797068722869,0.7859832581659779,0.821999077150038,0.32146091232132384,0.3279449456654798,0.3131677581623029,0.3208578720497022,0.6151051357961244
10,bevfusion,50-80,,,,,,,,,,,,,,,,,,,,,
11,bevfusion,0-80,0.9999965784664158,1.000013547016375,1.000013371652223,1.000007832378338,0.987915000915976,0.9297556930306871,0.8478904997101337,0.9218537312189322,0.7105408633660909,0.7257575432988034,0.7265845916071861,0.7209609994240268,0.9510105731551501,0.9055090887040205,0.8849879443700147,0.9138358687430618,0.7242085414147232,0.7055424855422906,0.7089057480913707,0.7128855916827949,0.8369225730570553
