,model,rango,RA_noche_s1,RA_noche_s2,RA_noche_s3,RA_noche,RA_sol intenso_s1,RA_sol intenso_s2,RA_sol intenso_s3,RA_sol intenso,RA_nieve_s1,RA_nieve_s2,RA_nieve_s3,RA_nieve,RA_niebla_s1,RA_niebla_s2,RA_niebla_s3,RA_niebla,RA_lluvia_s1,RA_lluvia_s2,RA_lluvia_s3,RA_lluvia,mRA
0,virconv,0-30,0.9794648704072347,0.9794907814702714,0.9569373312612073,0.9719643277129045,0.9545373807062226,0.8731907958671625,0.7964245109344172,0.8747175625026008,0.907498922912506,0.8810844284214542,0.8296142801699972,0.8727325438346525,0.03558199930198257,0.03320383661848599,0.022982739227635964,0.030589525049368172,0.9271226507915017,0.9064714307114131,0.8810763339069071,0.9048901384699407,0.6950441337667165
1,virconv,30-50,1.0481825795533033,1.0548314612671772,1.0306354720568944,1.0445498376257916,0.9560377096964001,0.9006814863763862,0.8639490065948503,0.9068894008892122,0.24704366937628727,0.12594705979654083,0.07663806182839086,0.149876263667073,0.0649672968236633,0.0,0.07302104119270059,0.0459961126721213,0.2086446671094797,0.22353392949019366,0.13690769844390488,0.18969543168119274,0.35752941141154465
2,virconv,50-80,,,inf,,,,,,,,,,,,,,,,,,
3,virconv,0-80,1.003312376744864,1.0005214282001231,0.9991595265988159,1.0009977771812677,0.9685839538073756,0.8869903907302256,0.8274805743712562,0.8943516396362857,0.773844881363751,0.743143189444904,0.685724977455157,0.7342376827546039,0.037481807749309176,0.013068779356482494,0.028368998104690624,0.026306528403494095,0.771253036306887,0.7734103768460002,0.7437749702514735,0.7628127944681203,0.6310886957018714
4,mvxnet,0-30,0.9194660779922557,0.878186649465262,0.7158182866579929,0.8378236713718369,0.9022876731929439,0.6899109590644513,0.5315190262551396,0.7079058861708449,0.8389255643365906,0.82415390942197,0.7698229959021329,0.8109674898868978,0.07484057649975903,0.06169353493467402,0.05384496024778498,0.06345969056073934,0.8009597366918665,0.7359700811681353,0.6505687520288609,0.7291661899629541,0.610354260445607
5,mvxnet,30-50,0.8833867724176008,0.5986646878634677,0.35239840292824065,0.6114832877364363,0.942627487075982,0.9186073635306833,0.8875688179556053,0.9162678895207569,0.3528317577696306,0.3365054501174856,0.28648709637243464,0.32527476808651695,0.5750782480454525,0.3691935888032206,0.1868966744491053,0.3770561704325928,0.2943444953144408,0.26302004006271756,0.21099974957752832,0.25612142831822887,0.39248391364344376
6,mvxnet,50-80,1.0651789687659032,0.0,0.0,0.35505965625530106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08876491406382526
7,mvxnet,0-80,0.9157697070928561,0.83286504375562,0.632636278548752,0.793757009799076,0.9028772743498609,0.7252712714670133,0.6056117469241842,0.7445867642470194,0.7196374146390103,0.6939147591820783,0.6420864324444623,0.6852128687551837,0.1716803392692917,0.11636252756383561,0.07303145332074544,0.12035810671795759,0.6893437140544982,0.6239805051640221,0.540009540675808,0.6177779199647762,0.5542764763092484
8,bevfusion,0-30,1.0000319354652856,0.9999998265059433,0.9999696614675038,1.0000004744795776,0.8975497706150315,0.7931589611668867,0.6496772044894573,0.7801286454237918,0.9194380984650831,0.9234009342408038,0.8912591916927013,0.9113660747995294,0.04044853854839911,0.04005153020906679,0.009624224311806331,0.030041431023090745,0.9183229449081576,0.9124088775740595,0.9359648521390397,0.9222322248737522,0.7159100512939875
9,bevfusion,30-50,1.0001521158794444,1.0000009550077311,1.0001581089349794,1.000103726607385,0.8528690673562684,0.7098389180573115,0.5427658390358886,0.7018246081498228,0.1723283490047041,0.14334565869533464,0.08499280249928041,0.13355560339977304,0.04222871238754959,0.009733355706281295,0.009218892357488953,0.02039365348377328,0.21365881963659591,0.17056472212763935,0.19612916116771698,0.1934509009773174,0.33687597111706213
10,bevfusion,50-80,,,,,,,,,,,,,,,,,,,,,
11,bevfusion,0-80,1.0000527280587868,1.0000075344313937,1.0000552282380284,1.0000384969094027,0.8581436616751312,0.7401779679071746,0.5982440104787328,0.7321885466870128,0.768657276004064,0.7698239817595798,0.7311201938473664,0.7565338172036701,0.04134620281760426,0.02238003350851588,0.008940763101464317,0.02422233314252815,0.7795006469937872,0.7700328464013009,0.7909607341067104,0.7801647425005994,0.64023984743905
