,gpu_usage,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,elapsed_time
0,64.3,28.0,27.0,29.0,27.0,26.0,27.0,27.0,26.0,58.218,62.031,62.281,9927.0,4286.0,0.4209624522556492,0.07504796981811523
1,51.0,37.0,26.0,31.0,37.0,33.0,54.0,24.0,50.0,58.031,61.406,62.312,8655.0,3049.0,0.42472635887383714,1.087789535522461
2,42.3,31.0,28.0,18.0,21.0,27.0,26.0,26.0,69.0,57.968,62.062,62.281,8614.0,3089.0,0.42658947393635016,2.0826408863067627
3,63.1,31.0,34.0,43.0,23.0,27.0,18.0,43.0,54.0,58.437,61.343,62.343,8816.0,3250.0,0.42733277375839734,3.0783612728118896
4,58.5,25.0,26.0,34.0,72.0,31.0,29.0,38.0,37.0,58.156,61.75,62.25,9123.0,3645.0,0.4301295672143648,4.0772130489349365
5,59.1,31.0,55.0,27.0,38.0,28.0,28.0,45.0,28.0,58.062,61.5,62.312,8962.0,3451.0,0.4314422561582353,5.089627027511597
6,52.2,40.0,31.0,27.0,27.0,35.0,56.0,49.0,21.0,58.25,61.656,62.406,9083.0,3645.0,0.43273024329533083,6.085062503814697
7,61.4,17.0,94.0,14.0,15.0,33.0,26.0,51.0,23.0,58.093,61.843,62.343,9244.0,3525.0,0.43538705984624,7.082838773727417
8,49.4,7.0,100.0,16.0,16.0,38.0,39.0,35.0,22.0,58.375,61.687,62.343,9364.0,3605.0,0.43841091031397744,8.086182832717896
9,54.7,8.0,100.0,12.0,13.0,23.0,24.0,75.0,28.0,58.343,61.593,62.656,9404.0,3605.0,0.44049584261106584,9.084736347198486
10,53.2,30.0,100.0,61.0,14.0,43.0,35.0,68.0,33.0,58.656,61.875,62.625,10289.0,4286.0,0.4361889952702278,10.08643102645874
11,57.2,17.0,100.0,44.0,9.0,31.0,27.0,70.0,26.0,58.437,61.781,62.562,9726.0,3806.0,0.42987880644861876,11.090348720550537
12,55.8,33.0,100.0,7.0,20.0,28.0,55.0,17.0,13.0,58.656,61.718,62.531,9404.0,3685.0,0.43412502208191817,12.093116044998169
13,51.9,10.0,100.0,24.0,14.0,19.0,24.0,57.0,40.0,58.656,62.312,62.531,9485.0,3806.0,0.4372451846447581,13.088847160339355
14,46.6,24.0,100.0,23.0,44.0,46.0,26.0,27.0,35.0,58.656,61.718,62.562,9646.0,3605.0,0.4411021596864517,14.107481956481934
15,43.5,16.0,60.0,15.0,15.0,25.0,25.0,18.0,55.0,58.343,62.125,62.437,8842.0,3290.0,0.4442465250296671,15.097636461257935
16,57.6,25.0,20.0,15.0,13.0,19.0,11.0,19.0,99.0,58.343,62.093,62.437,8655.0,3170.0,0.4466021791484813,16.10631251335144
17,45.4,18.0,28.0,22.0,25.0,14.0,16.0,7.0,100.0,58.5,62.062,62.781,8816.0,2889.0,0.4478367704608309,17.109493732452393
18,46.7,18.0,18.0,15.0,30.0,12.0,8.0,8.0,100.0,58.5,62.062,62.562,8534.0,2929.0,0.4490042427224485,18.104889154434204
19,52.8,21.0,23.0,19.0,17.0,15.0,9.0,14.0,100.0,58.312,62.156,62.562,8695.0,3170.0,0.45143899252558256,19.11023497581482
20,49.5,12.0,15.0,22.0,19.0,14.0,11.0,14.0,100.0,58.687,62.125,62.531,8614.0,3089.0,0.45437800850540594,20.174797534942627
21,48.5,22.0,25.0,21.0,28.0,14.0,17.0,11.0,100.0,58.437,62.312,62.437,8816.0,2929.0,0.4558416529351236,21.11256742477417
22,53.4,24.0,21.0,12.0,13.0,16.0,9.0,13.0,100.0,58.687,61.937,62.5,8373.0,2648.0,0.4556208337533472,22.1227548122406
23,47.3,17.0,20.0,20.0,31.0,21.0,14.0,14.0,100.0,58.437,62.218,62.562,8816.0,3129.0,0.4571471059962014,23.11373543739319
24,56.2,32.0,15.0,17.0,26.0,12.0,6.0,12.0,100.0,58.843,62.125,62.843,8574.0,2969.0,0.4572628801208842,24.11226201057434
25,45.1,43.0,48.0,47.0,43.0,33.0,30.0,25.0,100.0,58.656,62.625,62.843,10007.0,4126.0,0.4554262134575443,25.10900378227234
26,33.9,32.0,50.0,34.0,33.0,35.0,27.0,28.0,100.0,58.5,62.437,62.781,9203.0,3605.0,0.45704031434670955,26.109779357910156
27,38.1,24.0,16.0,32.0,23.0,18.0,15.0,16.0,100.0,58.687,62.062,62.781,8842.0,3170.0,0.459234782938487,27.106738805770874
28,57.9,15.0,31.0,13.0,24.0,12.0,29.0,18.0,100.0,58.687,62.125,62.656,8775.0,2969.0,0.4583405276305927,28.117401123046875
29,65.1,28.0,22.0,16.0,15.0,23.0,28.0,64.0,100.0,58.531,62.875,62.875,9203.0,3645.0,0.45902768698269675,29.136515855789185
30,57.6,21.0,23.0,25.0,16.0,33.0,29.0,61.0,100.0,58.906,62.625,62.875,9284.0,3766.0,0.46080496950449673,30.132133960723877
31,57.0,23.0,26.0,25.0,30.0,24.0,34.0,42.0,100.0,58.968,62.593,62.812,9284.0,3806.0,0.46158394971410777,31.130037784576416
32,59.2,33.0,35.0,44.0,54.0,43.0,47.0,43.0,44.0,58.968,62.406,63.031,9043.0,3565.0,0.46238937832289206,32.140257120132446
33,58.4,49.0,33.0,42.0,45.0,38.0,66.0,30.0,19.0,58.906,62.125,62.781,8962.0,3531.0,0.46285372238762174,33.14281463623047
34,56.7,37.0,34.0,49.0,45.0,37.0,25.0,86.0,33.0,58.875,62.312,62.875,9043.0,3605.0,0.46347550928139203,34.13534235954285
35,60.2,33.0,35.0,56.0,35.0,38.0,20.0,53.0,48.0,58.718,62.218,62.968,9003.0,3565.0,0.46359926782846667,35.14397597312927
36,63.4,37.0,39.0,42.0,60.0,36.0,59.0,31.0,24.0,58.812,62.312,62.906,9003.0,3565.0,0.4651063275549403,36.13455009460449
37,58.7,40.0,43.0,41.0,61.0,36.0,32.0,32.0,37.0,58.781,62.187,62.968,8922.0,3491.0,0.4651789358960668,37.13831448554993
38,49.2,32.0,55.0,25.0,59.0,47.0,43.0,20.0,44.0,59.0,62.437,62.968,9003.0,3605.0,0.46686464707355946,38.14753007888794
