,modelo,clase,metrica,rce
0,virconv,Pedestrian,aos,7.2363792549608545
1,mvxnet,Pedestrian,aos,31.862711378160032
2,bevfusion,Pedestrian,aos,0.003855605805171607
3,virconv,Pedestrian,3d,0.5684162944302874
4,mvxnet,Pedestrian,3d,84.3776808743705
5,bevfusion,Pedestrian,3d,0.004270890831703555
6,virconv,Car,aos,5.474538029173369
7,mvxnet,Car,aos,16.633607265083466
8,bevfusion,Car,aos,0.0003484607995609848
9,virconv,Car,3d,5.968508747703611
10,mvxnet,Car,3d,19.354776807539302
11,bevfusion,Car,3d,0.006388339271773991
12,virconv,Cyclist,aos,16.818680214510973
13,mvxnet,Cyclist,aos,44.23872375813984
14,bevfusion,Cyclist,aos,-0.006203830356913326
15,virconv,Cyclist,3d,17.864996855429997
16,mvxnet,Cyclist,3d,31.440699951440934
17,bevfusion,Cyclist,3d,-0.0050130176046784825
