,gpu_usage,cpu_usage_avg,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,SWAP,elapsed_time
0,3.9,6.875,59.75,63.156,63.781,10007.0,3725.0,0.5588737033178844,0.6051167500297427,0.12916970252990723
1,0.0,30.0,59.625,62.937,63.593,8695.0,2648.0,0.562195704652773,0.6051014912370423,1.098031997680664
2,0.0,29.5,59.562,62.812,63.562,8775.0,2648.0,0.5667852264008534,0.6051014912370423,2.117814302444458
3,16.2,22.375,59.406,62.812,63.593,8534.0,2768.0,0.572089849232439,0.6051014912370423,3.1029374599456787
4,0.0,22.875,59.531,62.656,63.718,8494.0,2447.0,0.5721275255281855,0.6051014912370423,4.108994007110596
5,0.0,21.75,59.406,62.656,63.718,8453.0,2728.0,0.5741133906794833,0.6050862324443418,5.10359001159668
6,2.9,23.125,59.593,62.843,63.656,8534.0,2849.0,0.5784316930005676,0.6050862324443418,6.106041193008423
7,0.0,23.125,59.406,62.593,63.687,8494.0,2447.0,0.5779411526201867,0.6050862324443418,7.118722200393677
8,0.0,23.625,59.531,62.906,63.625,8453.0,2688.0,0.5789272236187958,0.6050709736516413,8.110156297683716
9,31.5,20.875,59.406,62.75,63.656,8494.0,2768.0,0.5816993007429216,0.6050709736516413,9.116189956665039
10,0.0,23.0,59.531,62.5,63.593,8332.0,2608.0,0.5819632843250392,0.6050557148589408,10.116996765136719
11,0.0,22.25,59.437,62.812,63.562,8534.0,2447.0,0.5834875524754699,0.6050557148589408,11.118618488311768
12,16.4,25.375,59.843,62.687,63.687,8413.0,2528.0,0.5863918709025469,0.6050557148589408,12.122652530670166
13,0.0,22.125,59.437,62.625,63.687,8332.0,2568.0,0.5850135672091471,0.6050557148589408,13.118738651275635
14,0.0,24.0,59.593,62.687,63.562,8453.0,2728.0,0.5824944951438747,0.6050557148589408,14.120398759841919
15,35.4,23.125,59.406,62.75,63.593,8453.0,2768.0,0.5841552462994267,0.6050557148589408,15.127186059951782
16,0.0,22.75,59.593,62.906,63.593,8453.0,2768.0,0.5846520244771166,0.6050557148589408,16.118226528167725
17,0.0,22.5,59.375,62.718,63.75,8453.0,2528.0,0.5853598897157436,0.6050557148589408,17.13764977455139
18,34.1,24.5,59.562,63.093,63.593,8413.0,2367.0,0.5863474577857067,0.6050557148589408,18.145689249038696
19,0.0,24.75,59.312,62.937,63.656,8494.0,2768.0,0.5862112242924779,0.6050557148589408,19.145463466644287
20,0.0,27.5,59.406,62.593,63.625,7970.0,2327.0,0.586899877115393,0.6050557148589408,20.152702808380127
21,16.7,27.75,59.343,62.562,63.781,7648.0,2049.0,0.5883240909969871,0.6050557148589408,21.16325283050537
22,0.0,30.125,59.312,62.437,63.718,7729.0,2089.0,0.5872224959922152,0.6050557148589408,22.267913818359375
23,0.0,30.375,59.343,62.468,63.562,7729.0,2089.0,0.5872701527636561,0.6050557148589408,23.153833627700806
24,33.6,28.75,59.25,62.718,63.593,7729.0,2130.0,0.5884186560041919,0.6050404560662404,24.168347597122192
25,0.0,27.5,59.187,62.437,63.687,7527.0,1969.0,0.5871167029498543,0.6050404560662404,25.16318368911743
26,0.0,27.5,59.468,62.375,63.531,7688.0,2089.0,0.5874964600500271,0.6050251972735399,26.16241145133972
27,30.5,27.25,59.437,62.593,63.625,8051.0,2407.0,0.5883520363289315,0.6050251972735399,27.15012550354004
28,0.0,28.875,59.593,62.656,63.625,8413.0,2768.0,0.5891819128829228,0.6050251972735399,28.16107416152954
29,0.0,24.25,59.406,62.718,63.656,8373.0,2808.0,0.5893126571145197,0.6050251972735399,29.16887140274048
30,14.5,29.375,59.468,62.906,63.75,8775.0,3089.0,0.5898146750419492,0.6050251972735399,30.151742696762085
31,0.0,23.75,59.656,62.875,63.593,8373.0,2808.0,0.5889386387878712,0.6050251972735399,31.15974473953247
32,0.0,24.25,59.343,63.187,63.562,8453.0,2889.0,0.5891250241714646,0.6050099384808394,32.161168336868286
33,0.0,22.625,59.531,63.062,63.562,8332.0,2728.0,0.5895589253522796,0.6050099384808394,33.15420889854431
34,0.0,25.125,59.375,62.937,63.5,8534.0,2849.0,0.5888051499254583,0.6050099384808394,34.166077613830566
35,0.0,25.625,59.562,63.0,63.562,8574.0,2808.0,0.5884762932513271,0.6050099384808394,35.17390847206116
36,0.0,23.0,59.656,63.062,63.625,8655.0,2849.0,0.5899838441049696,0.6050099384808394,36.17353439331055
37,0.0,24.625,59.656,63.0,63.781,8534.0,2808.0,0.5886514505997642,0.6050099384808394,37.1860830783844
38,0.0,24.375,59.718,63.25,63.656,8655.0,2849.0,0.5885546399855283,0.6050099384808394,38.16995668411255
39,7.1,24.125,59.593,62.593,63.687,8655.0,2608.0,0.5889890401901281,0.6050099384808394,39.195460081100464
