,gpu_usage,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,elapsed_time
0,0.0,22.0,17.0,16.0,18.0,16.0,17.0,16.0,17.0,56.343,59.781,60.406,8896.0,3210.0,0.4285852230834584,0.0738673210144043
1,0.0,15.0,14.0,13.0,15.0,10.0,9.0,8.0,100.0,56.375,59.781,60.5,8051.0,2487.0,0.4322460798367186,1.0853137969970703
2,0.0,9.0,8.0,10.0,15.0,11.0,3.0,4.0,100.0,56.031,60.281,60.781,7930.0,2407.0,0.43577793829789624,2.0861976146698
3,0.0,14.0,11.0,6.0,9.0,6.0,6.0,5.0,100.0,56.25,59.843,60.687,8051.0,2367.0,0.4373493720378112,3.0872488021850586
4,0.0,37.0,6.0,10.0,21.0,6.0,9.0,7.0,70.0,56.156,59.718,60.562,7890.0,2608.0,0.44408472967122903,4.078519344329834
5,0.0,21.0,13.0,4.0,13.0,4.0,3.0,4.0,99.0,56.406,60.125,60.781,7809.0,2250.0,0.4447372065257666,5.081291913986206
6,0.0,7.0,14.0,7.0,16.0,2.0,3.0,2.0,100.0,56.437,60.125,60.687,7849.0,2568.0,0.44721861467810936,6.0971105098724365
7,0.0,10.0,18.0,17.0,4.0,3.0,0.0,3.0,100.0,56.5,59.937,60.75,7849.0,2568.0,0.44993157102204323,7.088061571121216
8,0.0,8.0,7.0,22.0,6.0,3.0,5.0,6.0,100.0,56.218,59.937,60.687,7729.0,2130.0,0.4500216452646773,8.088913202285767
9,0.0,16.0,14.0,14.0,5.0,3.0,2.0,3.0,100.0,56.5,60.187,60.781,7890.0,2568.0,0.4522131191512561,9.088594675064087
10,0.0,13.0,9.0,11.0,10.0,3.0,3.0,4.0,100.0,56.468,60.062,60.718,7809.0,2487.0,0.45559526972993947,10.094259262084961
11,0.0,19.0,17.0,11.0,10.0,3.0,2.0,4.0,100.0,56.25,59.906,60.656,7970.0,2487.0,0.4561364637251563,11.089972496032715
12,0.0,8.0,14.0,15.0,13.0,2.0,3.0,4.0,100.0,56.25,59.718,60.718,7849.0,2170.0,0.4564343824113199,12.111254930496216
13,0.0,12.0,14.0,15.0,13.0,2.0,1.0,2.0,100.0,56.406,60.25,60.906,7809.0,2407.0,0.45769592083447175,13.107671022415161
14,0.0,12.0,21.0,6.0,8.0,4.0,5.0,3.0,100.0,56.437,60.156,60.75,7809.0,2411.0,0.45747385414210523,14.107594013214111
15,0.0,24.0,15.0,11.0,22.0,3.0,5.0,0.0,100.0,56.531,60.312,60.875,7970.0,2688.0,0.4551339199387196,15.112330198287964
16,0.0,12.0,21.0,7.0,8.0,3.0,3.0,3.0,100.0,56.437,60.437,60.843,7849.0,2608.0,0.4562904133309879,16.118332147598267
17,0.0,16.0,18.0,11.0,7.0,3.0,2.0,0.0,100.0,56.656,60.187,60.875,7890.0,2608.0,0.4574845832070173,17.116445779800415
18,0.0,9.0,8.0,8.0,26.0,3.0,2.0,5.0,100.0,56.437,60.125,60.781,7970.0,2287.0,0.45739999825340805,18.121986150741577
19,0.0,4.0,15.0,19.0,13.0,3.0,3.0,2.0,100.0,56.718,60.218,60.812,7849.0,2407.0,0.4584911192036539,19.123445510864258
20,0.0,10.0,11.0,11.0,23.0,2.0,2.0,3.0,100.0,56.5,60.218,60.875,7849.0,2608.0,0.45944675452024236,20.123404264450073
21,0.0,20.0,7.0,13.0,5.0,5.0,3.0,7.0,100.0,56.5,60.562,61.093,7849.0,2608.0,0.45930178738736044,21.125153064727783
22,0.0,19.0,7.0,16.0,9.0,3.0,2.0,2.0,100.0,56.375,60.437,61.0,7769.0,2528.0,0.4593998460503942,22.18852663040161
23,0.0,10.0,14.0,19.0,12.0,2.0,5.0,2.0,100.0,56.656,60.406,61.0,7930.0,2688.0,0.4617013552306063,23.133420944213867
24,0.0,17.0,11.0,8.0,7.0,6.0,12.0,3.0,100.0,56.437,60.343,60.875,7849.0,2648.0,0.461368005678919,24.12801241874695
25,0.0,8.0,8.0,22.0,7.0,4.0,3.0,2.0,100.0,56.75,60.312,60.906,7769.0,2608.0,0.46121131142857497,25.13710904121399
